ts,humidity1,humidity2,humidity3,humidity4,humidity5,humidity6,humidity7,humidity8,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,temperature8
2024-03-26 00:02:02,45.02,44.22,44.73,51.86,31.16,37.03,35.75,51.28,18.04,18.24,18.60,16.07,23.70,20.92,21.07,17.60
2024-03-26 00:04:07,45.49,44.72,44.75,51.84,31.22,36.98,35.83,51.28,17.82,18.03,18.60,16.07,23.61,20.93,21.00,17.60
2024-03-26 00:06:12,46.14,45.25,44.82,51.83,31.29,37.07,35.77,51.28,17.53,17.77,18.58,16.10,23.56,20.84,21.07,17.60
2024-03-26 00:08:17,47.05,46.01,44.84,51.86,31.45,37.40,35.73,51.33,17.29,17.57,18.53,16.02,23.47,20.77,21.03,17.53
2024-03-26 00:10:22,46.78,45.86,44.92,52.03,31.68,37.73,35.71,51.50,17.58,17.83,18.57,16.00,23.50,20.70,21.12,17.50
2024-03-26 00:12:27,45.35,44.68,44.92,52.26,31.47,37.71,35.52,51.64,18.18,18.32,18.60,16.00,23.65,20.75,21.26,17.48
2024-03-26 00:14:32,44.09,43.69,44.91,52.32,31.29,37.56,35.38,51.86,18.63,18.71,18.60,16.00,23.78,20.83,21.30,17.40
2024-03-26 00:16:37,44.24,43.82,44.95,52.24,31.18,37.30,35.44,51.98,18.45,18.52,18.60,16.00,23.79,20.90,21.28,17.40
2024-03-26 00:18:42,44.88,44.38,44.97,52.24,31.23,37.27,35.54,51.92,18.12,18.22,18.60,16.00,23.70,20.87,21.20,17.40
2024-03-26 00:20:47,45.77,44.99,44.96,52.11,31.34,37.38,35.65,51.78,17.78,17.99,18.57,16.00,23.62,20.80,21.14,17.43
2024-03-26 00:22:52,45.81,45.09,45.02,52.12,31.46,37.73,35.73,51.86,17.91,18.09,18.53,16.03,23.62,20.70,21.14,17.41
2024-03-26 00:24:57,45.21,44.43,45.01,52.15,31.36,37.59,35.66,52.02,18.08,18.29,18.60,16.08,23.70,20.73,21.20,17.39
2024-03-26 00:27:02,45.61,44.89,45.02,52.08,31.31,37.23,35.69,52.21,17.86,18.03,18.55,16.09,23.66,20.88,21.12,17.30
2024-03-26 00:29:07,46.11,45.32,45.04,52.09,31.22,37.14,35.69,52.20,17.60,17.79,18.50,16.00,23.63,20.85,21.11,17.30
2024-03-26 00:31:12,46.79,45.84,45.04,52.17,31.25,37.29,35.63,52.28,17.30,17.56,18.50,16.00,23.59,20.73,21.17,17.30
2024-03-26 00:33:17,47.43,46.48,45.09,52.10,31.57,38.04,35.53,52.16,17.34,17.57,18.50,16.01,23.52,20.55,21.20,17.30
2024-03-26 00:35:22,45.98,45.22,45.02,52.16,31.36,37.99,35.44,52.09,17.87,18.06,18.52,16.00,23.62,20.52,21.22,17.33
2024-03-26 00:37:27,44.52,44.05,44.87,51.98,31.12,37.83,35.28,51.92,18.42,18.51,18.60,16.02,23.75,20.60,21.30,17.38
2024-03-26 00:39:32,43.43,43.16,44.73,51.85,30.89,37.47,35.13,51.78,18.77,18.78,18.60,16.06,23.88,20.75,21.33,17.47
2024-03-26 00:41:37,43.89,43.53,44.68,51.90,30.88,36.97,35.27,51.65,18.48,18.51,18.60,16.07,23.82,20.96,21.27,17.45
2024-03-26 00:43:42,44.65,44.22,44.73,51.91,30.92,36.92,35.32,51.65,18.11,18.18,18.60,16.00,23.76,20.91,21.21,17.41
2024-03-26 00:45:47,45.49,44.82,44.77,51.98,31.07,37.10,35.44,51.72,17.85,17.98,18.60,16.00,23.70,20.85,21.15,17.40
2024-03-26 00:47:52,44.88,44.25,44.74,52.00,31.03,37.27,35.45,51.71,18.13,18.32,18.60,16.00,23.75,20.80,21.17,17.40
2024-03-26 00:49:57,44.87,44.14,44.69,52.00,30.92,37.00,35.43,51.69,18.03,18.21,18.60,16.00,23.75,20.87,21.17,17.40
